DetNum	FrontCh	Gain
4	0	1
4	1	1
4	2	1
4	3	1
4	4	0.97589
4	5	0.954358
4	6	0.982828
4	7	0.90184
4	8	0.949462
4	9	1.02025
4	10	0.91193
4	11	0.996118
5	0	1
5	1	1
5	2	1
5	3	1
5	4	1.01335
5	5	1.02363
5	6	1.0276
5	7	1.06346
5	8	1.05262
5	9	1.05236
5	10	1.06241
5	11	1.03146
6	0	1
6	1	1
6	2	1
6	3	1
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	0
7	0	1
7	1	1
7	2	1
7	3	1
7	4	1.08674
7	5	1.05642
7	6	1.04303
7	7	1.05483
7	8	1.12645
7	9	1.06798
7	10	1.05776
7	11	1.05213
8	0	1
8	1	1
8	2	1
8	3	1
8	4	0.905089
8	5	0.933495
8	6	0.924152
8	7	0.884352
8	8	0.903803
8	9	0.962396
8	10	0.970804
8	11	0.9876
9	0	1
9	1	1
9	2	1
9	3	1
9	4	0
9	5	0
9	6	0
9	7	0
9	8	0
9	9	0
9	10	0
9	11	0
10	0	1
10	1	1
10	2	1
10	3	1
10	4	0.925505
10	5	0.942228
10	6	0.973837
10	7	0.900158
10	8	0.923191
10	9	0.909942
10	10	0.923307
10	11	0.927901
11	0	1
11	1	1
11	2	1
11	3	1
11	4	0.955418
11	5	0.959414
11	6	0.957764
11	7	0
11	8	1.04126
11	9	1.05659
11	10	1.06745
11	11	0
12	0	1
12	1	1
12	2	1
12	3	1
12	4	0.916087
12	5	0.964812
12	6	0.968729
12	7	0
12	8	0.95863
12	9	0.96091
12	10	2.40267
12	11	0
13	0	1
13	1	1
13	2	1
13	3	1
13	4	0
13	5	0
13	6	0
13	7	0
13	8	0
13	9	0
13	10	0
13	11	0
14	0	1
14	1	1
14	2	1
14	3	1
14	4	0.887793
14	5	0.933138
14	6	0.903454
14	7	0.966351
14	8	0.917907
14	9	0.950354
14	10	0.977754
14	11	0.941451
15	0	1
15	1	1
15	2	1
15	3	1
15	4	0.95249
15	5	0.978628
15	6	0.932858
15	7	0.978047
15	8	0.947487
15	9	0.924831
15	10	0.984007
15	11	0.947354
16	0	1
16	1	1
16	2	1
16	3	1
16	4	1.13075
16	5	1.0732
16	6	1.13316
16	7	1.09742
16	8	1.02064
16	9	1.08834
16	10	1.01679
16	11	1.0929
17	0	1
17	1	1
17	2	1
17	3	1
17	4	1.03247
17	5	1.02425
17	6	0.990252
17	7	1.13292
17	8	1.07811
17	9	1.11889
17	10	1.08806
17	11	1.0613
18	0	1
18	1	1
18	2	1
18	3	1
18	4	0
18	5	0
18	6	0
18	7	0
18	8	0
18	9	0
18	10	0
18	11	0
19	0	1
19	1	1
19	2	1
19	3	1
19	4	1.02092
19	5	1.00132
19	6	0.928863
19	7	0.992969
19	8	1.05613
19	9	1.00889
19	10	0.980907
19	11	0.951967
20	0	1
20	1	1
20	2	1
20	3	1
20	4	0.986463
20	5	0.961938
20	6	0.963085
20	7	0.978669
20	8	0.91055
20	9	1.02845
20	10	0.994183
20	11	0.962343
21	0	1
21	1	1
21	2	1
21	3	1
21	4	0
21	5	0.942643
21	6	0
21	7	0.995812
21	8	0
21	9	0.989473
21	10	0
21	11	0.936691
22	0	1
22	1	1
22	2	1
22	3	1
22	4	1.021
22	5	0.9679
22	6	1.03183
22	7	0.997462
22	8	0.979296
22	9	0.930965
22	10	0.977777
22	11	0.985356
23	0	1
23	1	1
23	2	1
23	3	1
23	4	0.956579
23	5	0.982109
23	6	0.937943
23	7	1.01593
23	8	0.961524
23	9	0.969073
23	10	0.98439
23	11	1.00405
24	0	1
24	1	1
24	2	1
24	3	1
24	4	1.00925
24	5	1.04933
24	6	1.0847
24	7	1.00989
24	8	0.97606
24	9	1.00019
24	10	1.04068
24	11	1.00323
25	0	1
25	1	1
25	2	1
25	3	1
25	4	0.995508
25	5	0.987284
25	6	1.01569
25	7	1.11851
25	8	1.05178
25	9	1.01991
25	10	1.08282
25	11	1.00923
26	0	1
26	1	1
26	2	1
26	3	1
26	4	1.01245
26	5	0.983029
26	6	0.991275
26	7	1.01873
26	8	1.05256
26	9	1.08116
26	10	1.05704
26	11	1.07666
27	0	1
27	1	1
27	2	1
27	3	1
27	4	0
27	5	1.02615
27	6	1.01277
27	7	1.07075
27	8	0
27	9	1.01096
27	10	0.965623
27	11	1.00127
